# GPS_1DAY_SPMO test orbit
# System: GSE
# Units: Re
# Data Delimiter: Comma
# Time format: YrMoDaHrMnSc
# Year,Month,Day,Hour,Minute,Second,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.200000000000e+01,5.999990000001e+01,3.104360026036e+00,-1.838783698968e+00,-2.087892436114e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.300000000000e+01,5.999990000001e+01,3.119769399722e+00,-1.806217821763e+00,-2.093337490884e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.400000000000e+01,5.999990000001e+01,3.134940692389e+00,-1.773514023410e+00,-2.098622254870e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.500000000000e+01,5.999990000001e+01,3.149872748332e+00,-1.740674796735e+00,-2.103746324337e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.600000000000e+01,5.999990000001e+01,3.164564429942e+00,-1.707702644816e+00,-2.108709307748e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.700000000000e+01,5.999990000001e+01,3.179014610585e+00,-1.674600097474e+00,-2.113510823413e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.800000000000e+01,5.999990000001e+01,3.193222189465e+00,-1.641369677914e+00,-2.118150504521e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.900000000000e+01,5.999990000001e+01,3.207186084139e+00,-1.608013919023e+00,-2.122627996542e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.000000000000e+01,5.999990000001e+01,3.220905223756e+00,-1.574535380042e+00,-2.126942955125e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.100000000000e+01,5.999990000001e+01,3.234378563187e+00,-1.540936612823e+00,-2.131095050633e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.200000000000e+01,5.999990000001e+01,3.247605075897e+00,-1.507220178319e+00,-2.135083965788e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.300000000000e+01,5.999990000001e+01,3.260583747555e+00,-1.473388663431e+00,-2.138909393818e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.400000000000e+01,5.999990000001e+01,3.273313589417e+00,-1.439444646903e+00,-2.142571042484e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.500000000000e+01,5.999990000001e+01,3.285793631561e+00,-1.405390715994e+00,-2.146068631982e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.600000000000e+01,5.999990000001e+01,3.298022916874e+00,-1.371229483489e+00,-2.149401893325e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.700000000000e+01,5.999990000001e+01,3.310000515662e+00,-1.336963547498e+00,-2.152570572396e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.800000000000e+01,5.999990000001e+01,3.321725509323e+00,-1.302595537063e+00,-2.155574425504e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.900000000000e+01,5.999990000001e+01,3.333197004579e+00,-1.268128071800e+00,-2.158413223183e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.000000000000e+01,5.999990000001e+01,3.344414127325e+00,-1.233563778848e+00,-2.161086748498e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.100000000000e+01,5.999990000001e+01,3.355376017251e+00,-1.198905310132e+00,-2.163594795836e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.200000000000e+01,5.999990000001e+01,3.366081839186e+00,-1.164155307391e+00,-2.165937173615e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.300000000000e+01,5.999990000001e+01,3.376530777332e+00,-1.129316419292e+00,-2.168113702826e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.400000000000e+01,5.999990000001e+01,3.386722030258e+00,-1.094391318817e+00,-2.170124216080e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.500000000000e+01,5.999990000001e+01,3.396654821479e+00,-1.059382668014e+00,-2.171968559807e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.600000000000e+01,5.999990000001e+01,3.406328394057e+00,-1.024293135256e+00,-2.173646593052e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.700000000000e+01,5.999990000001e+01,3.415742005998e+00,-9.891254127428e-01,-2.175158186760e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.800000000000e+01,5.999990000001e+01,3.424894940030e+00,-9.538821810034e-01,-2.176503225485e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.900000000000e+01,5.999990000001e+01,3.433786498603e+00,-9.185661262808e-01,-2.177681606416e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.000000000000e+01,5.999990000001e+01,3.442415999664e+00,-8.831799581437e-01,-2.178693238929e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.100000000000e+01,5.999990000001e+01,3.450782785650e+00,-8.477263737582e-01,-2.179538045773e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.200000000000e+01,5.999990000001e+01,3.458886218876e+00,-8.122080753912e-01,-2.180215962360e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.300000000000e+01,5.999990000001e+01,3.466725677699e+00,-7.766277881173e-01,-2.180726936553e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.400000000000e+01,5.999990000001e+01,3.474300565969e+00,-7.409882179059e-01,-2.181070929398e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.500000000000e+01,5.999990000001e+01,3.481610302556e+00,-7.052920991284e-01,-2.181247914439e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.600000000000e+01,5.999990000001e+01,3.488654330401e+00,-6.695421525537e-01,-2.181257878197e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.700000000000e+01,5.999990000001e+01,3.495432112544e+00,-6.337411030226e-01,-2.181100819866e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.800000000000e+01,5.999990000001e+01,3.501943128956e+00,-5.978916972848e-01,-2.180776751528e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.900000000000e+01,5.999990000001e+01,3.508186883401e+00,-5.619966677797e-01,-2.180285697983e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,4.000000000000e+00,5.999990000001e+01,3.535380748632e+00,-3.819332288887e-01,-2.175327415045e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,9.000000000000e+00,5.999990000001e+01,3.555830222805e+00,-2.011417165779e-01,-2.166205570659e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,1.400000000000e+01,5.999990000001e+01,3.569496234103e+00,-1.996733419328e-02,-2.152937624487e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,1.900000000000e+01,5.999990000001e+01,3.576352652753e+00,1.612440043606e-01,-2.135548970393e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,2.400000000000e+01,5.999990000001e+01,3.576386338239e+00,3.421462986540e-01,-2.114072890517e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,2.900000000000e+01,5.999990000001e+01,3.569597166553e+00,5.223941466522e-01,-2.088550489925e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,3.400000000000e+01,5.999990000001e+01,3.555998030535e+00,7.016433921447e-01,-2.059030619368e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,3.900000000000e+01,5.999990000001e+01,3.535614813346e+00,8.795518058455e-01,-2.025569777694e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,4.400000000000e+01,5.999990000001e+01,3.508486341939e+00,1.055779702761e+00,-1.988232009642e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,4.900000000000e+01,5.999990000001e+01,3.474664311502e+00,1.229990614824e+00,-1.947088779439e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,5.400000000000e+01,5.999990000001e+01,3.434213187297e+00,1.401851927277e+00,-1.902218834940e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.100000000000e+01,5.900000000000e+01,5.999990000001e+01,3.387210083469e+00,1.571035508098e+00,-1.853708058590e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,0.000000000000e+00,5.999990000001e+01,3.377030893100e+00,1.604522374025e+00,-1.843577053715e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,1.000000000000e+00,5.999990000001e+01,3.366593943220e+00,1.637886639950e+00,-1.833304881765e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,2.000000000000e+00,5.999990000001e+01,3.355900033439e+00,1.671125746301e+00,-1.822892332738e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,3.000000000000e+00,5.999990000001e+01,3.344949977750e+00,1.704237159861e+00,-1.812340202229e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,4.000000000000e+00,5.999990000001e+01,3.333744609529e+00,1.737218357083e+00,-1.801649296424e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,5.000000000000e+00,5.999990000001e+01,3.322284787292e+00,1.770066807796e+00,-1.790820437528e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,6.000000000000e+00,5.999990000001e+01,3.310571383364e+00,1.802780008568e+00,-1.779854452940e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.200000000000e+01,7.000000000000e+00,5.999990000001e+01,3.298605289257e+00,1.835355466213e+00,-1.768752180468e+00
