# GPS_1DAY_AE9 test orbit
# System: GEI
# Units: RE
# MJD, X, Y, Z
5.702359722222e+04,1.345100805460e+00,2.263379952587e+00,3.232441567787e+00
5.702360069444e+04,1.171216880922e+00,2.294959134712e+00,3.277541313793e+00
5.702360416667e+04,9.950912614108e-01,2.322145780278e+00,3.316367867469e+00
5.702360763889e+04,8.170610383200e-01,2.344887856058e+00,3.348846917664e+00
5.702361111111e+04,6.374669661203e-01,2.363141832894e+00,3.374916298297e+00
5.702361458333e+04,4.566527866090e-01,2.376872772801e+00,3.394526112755e+00
5.702361805556e+04,2.749645829625e-01,2.386054394625e+00,3.407638827661e+00
5.702362152778e+04,9.275009294982e-02,2.390669125421e+00,3.414229346250e+00
5.702362500000e+04,-8.964192009162e-02,2.390708132243e+00,3.414285053765e+00
5.702362847222e+04,-2.718623591254e-01,2.386171340433e+00,3.407805843584e+00
5.702363194444e+04,-4.535624555065e-01,2.377067433377e+00,3.394804116869e+00
5.702363541667e+04,-6.343944304778e-01,2.363413836424e+00,3.375304759596e+00
5.702363888889e+04,-8.140121850286e-01,2.345236681549e+00,3.349345092092e+00
5.702364236111e+04,-9.920719259544e-01,2.322570760078e+00,3.316974801523e+00
5.702364583333e+04,-1.168232848157e+00,2.295459454428e+00,3.278255844399e+00
5.702364930556e+04,-1.342157775075e+00,2.263954656578e+00,3.233262330146e+00
5.702365277778e+04,-1.513513827276e+00,2.228116664377e+00,3.182080373018e+00
5.702365625000e+04,-1.681973024604e+00,2.188014072474e+00,3.124807936328e+00
5.702365972222e+04,-1.847212937334e+00,2.143723636951e+00,3.061554639117e+00
5.702366319444e+04,-2.008917297432e+00,2.095330129390e+00,2.992441547755e+00
5.702366666667e+04,-2.166776598657e+00,2.042926176449e+00,2.917600946817e+00
5.702367013889e+04,-2.320488709996e+00,1.986612075415e+00,2.837176075673e+00
5.702367361111e+04,-2.469759422185e+00,1.926495612772e+00,2.751320869378e+00
5.702367708333e+04,-2.614303032126e+00,1.862691851010e+00,2.660199654195e+00
5.702368055556e+04,-2.753842879768e+00,1.795322912399e+00,2.563986838801e+00
5.702368402778e+04,-2.888111896177e+00,1.724517736099e+00,2.462866567401e+00
5.702368750000e+04,-3.016853086630e+00,1.650411844921e+00,2.357032386628e+00
5.702369097222e+04,-3.139820041389e+00,1.573147077024e+00,2.246686862364e+00
5.702369444444e+04,-3.256777402565e+00,1.492871316631e+00,2.132041195170e+00
5.702369791667e+04,-3.367501310980e+00,1.409738213821e+00,2.013314820096e+00
