# GPS_1DAY_SPMHE test orbit
# System: MAG
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702382986111e+04,-1.767587886996e-01,-2.885366972227e+00,-3.004043482038e+00
5.702383333333e+04,-6.660299617475e-02,-2.830555358999e+00,-3.060128081685e+00
5.702383680556e+04,4.576345010379e-02,-2.776088856923e+00,-3.109999974418e+00
5.702384027778e+04,1.601542081996e-01,-2.722183124074e+00,-3.153558806235e+00
5.702384375000e+04,2.763713703814e-01,-2.669045421106e+00,-3.190717612306e+00
5.702384722222e+04,3.942061533047e-01,-2.616873723435e+00,-3.221402939725e+00
5.702385069444e+04,5.134396212143e-01,-2.565855885408e+00,-3.245554930433e+00
5.702385416667e+04,6.338434575892e-01,-2.516168850721e+00,-3.263127374423e+00
5.702385763889e+04,7.551808025941e-01,-2.467977904393e+00,-3.274087734713e+00
5.702386111111e+04,8.772070922611e-01,-2.421435994381e+00,-3.278417136085e+00
5.702386458333e+04,9.996709765731e-01,-2.376683092444e+00,-3.276110329715e+00
5.702386805556e+04,1.122315248075e+00,-2.333845623475e+00,-3.267175625139e+00
5.702387152778e+04,1.244877825907e+00,-2.293035947208e+00,-3.251634791786e+00
5.702387500000e+04,1.367092725462e+00,-2.254351917540e+00,-3.229522934993e+00
5.702387847222e+04,1.488691091728e+00,-2.217876492664e+00,-3.200888341145e+00
5.702388194444e+04,1.609402230321e+00,-2.183677419353e+00,-3.165792296570e+00
5.702388541667e+04,1.728954652480e+00,-2.151806985043e+00,-3.124308881107e+00
5.702388888889e+04,1.847077149426e+00,-2.122301833945e+00,-3.076524728566e+00
5.702389236111e+04,1.963499831509e+00,-2.095182863814e+00,-3.022538776363e+00
5.702389583333e+04,2.077955207817e+00,-2.070455182410e+00,-2.962461977430e+00
5.702389930556e+04,2.190179237682e+00,-2.048108140759e+00,-2.896416998010e+00
5.702390277778e+04,2.299912396113e+00,-2.028115432137e+00,-2.824537880770e+00
5.702390625000e+04,2.406900688323e+00,-2.010435268463e+00,-2.746969709270e+00
5.702390972222e+04,2.510896684164e+00,-1.995010618334e+00,-2.663868230594e+00
5.702391319444e+04,2.611660511399e+00,-1.981769517101e+00,-2.575399469998e+00
5.702391666667e+04,2.708960823034e+00,-1.970625443277e+00,-2.481739329050e+00
5.702392013889e+04,2.802575749993e+00,-1.961477758337e+00,-2.383073151390e+00
5.702392361111e+04,2.892293786431e+00,-1.954212213382e+00,-2.279595304833e+00
5.702392708333e+04,2.977914668962e+00,-1.948701513018e+00,-2.171508718224e+00
5.702393055556e+04,3.059250194130e+00,-1.944805939842e+00,-2.059024424782e+00
5.702393402778e+04,3.136125006369e+00,-1.942374033766e+00,-1.942361071777e+00
5.702393750000e+04,3.208377309150e+00,-1.941243325430e+00,-1.821744457761e+00
5.702394097222e+04,3.275859550657e+00,-1.941241117922e+00,-1.697407023148e+00
5.702394444444e+04,3.338439039696e+00,-1.942185315483e+00,-1.569587351610e+00
5.702394791667e+04,3.395998503864e+00,-1.943885294618e+00,-1.438529665631e+00
5.702395138889e+04,3.448436595915e+00,-1.946142814384e+00,-1.304483294547e+00
5.702395486111e+04,3.495668317494e+00,-1.948752960958e+00,-1.167702182495e+00
5.702395833333e+04,3.537625396862e+00,-1.951505123535e+00,-1.028444349526e+00
5.702396180556e+04,3.574256588347e+00,-1.954183996423e+00,-8.869713775296e-01
5.702396527778e+04,3.605527911022e+00,-1.956570603787e+00,-7.435478673323e-01
5.702396875000e+04,3.631422805439e+00,-1.958443341204e+00,-5.984409437942e-01
5.702397222222e+04,3.651942232149e+00,-1.959579031305e+00,-4.519197150982e-01
5.702397569444e+04,3.667104692549e+00,-1.959753987551e+00,-3.042547582869e-01
5.702397916667e+04,3.676946179297e+00,-1.958745082101e+00,-1.557176087523e-01
5.702398263889e+04,3.681520056634e+00,-1.956330812762e+00,-6.580229442070e-03
5.702398611111e+04,3.680896866459e+00,-1.952292364968e+00,1.428854644670e-01
5.702398958333e+04,3.675164067408e+00,-1.946414663513e+00,2.924081241541e-01
5.702399305556e+04,3.664425702917e+00,-1.938487410149e+00,4.417174484536e-01
5.702399652778e+04,3.648801999382e+00,-1.928306100668e+00,5.905446868859e-01
5.702400000000e+04,3.628428901331e+00,-1.915673021205e+00,7.386230835733e-01
