# File: Run/ephem_molinya.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
57040.79791667,0.54211072,-2.88276814,5.57536950
57040.79861111,0.55878164,-2.88141619,5.58757179
57040.79930556,0.57544023,-2.88000069,5.59965076
57040.80000000,0.59208619,-2.87852205,5.61160683
57040.80069444,0.60871923,-2.87698061,5.62344041
57040.80138889,0.62533906,-2.87537676,5.63515190
57040.80208333,0.64194538,-2.87371086,5.64674168
57040.80277778,0.65853792,-2.87198328,5.65821015
57040.80347222,0.67511639,-2.87019436,5.66955770
57040.80416667,0.69168051,-2.86834448,5.68078471
57040.80486111,0.70823001,-2.86643396,5.69189155
57040.80555556,0.72476460,-2.86446318,5.70287860
57040.80625000,0.74128402,-2.86243245,5.71374623
57040.80694444,0.75778800,-2.86034213,5.72449479
57040.80763889,0.77427628,-2.85819255,5.73512466
57040.80833333,0.79074858,-2.85598404,5.74563619
57040.80902778,0.80720465,-2.85371694,5.75602973
57040.80972222,0.82364423,-2.85139155,5.76630563
57040.81041667,0.84006706,-2.84900822,5.77646423
57040.81111111,0.85647289,-2.84656725,5.78650587
57040.81180556,0.87286146,-2.84406895,5.79643089
57040.81250000,0.88923253,-2.84151365,5.80623962
57040.81319444,0.90558585,-2.83890165,5.81593239
57040.81388889,0.92192117,-2.83623325,5.82550953
57040.81458333,0.93823825,-2.83350876,5.83497135
57040.81527778,0.95453684,-2.83072847,5.84431817
57040.81597222,0.97081671,-2.82789269,5.85355032
57040.81666667,0.98707762,-2.82500169,5.86266808
57040.81736111,1.00331934,-2.82205579,5.87167179
57040.81805556,1.01954162,-2.81905525,5.88056173
57040.81875000,1.03574424,-2.81600037,5.88933820
57040.81944444,1.05192697,-2.81289143,5.89800151
57040.82013889,1.06808957,-2.80972870,5.90655195
57040.82083333,1.08423183,-2.80651247,5.91498979
57040.82152778,1.10035351,-2.80324300,5.92331534
57040.82222222,1.11645439,-2.79992056,5.93152888
57040.82291667,1.13253425,-2.79654543,5.93963067
57040.82361111,1.14859286,-2.79311786,5.94762100
57040.82430556,1.16463002,-2.78963813,5.95550015
57040.82500000,1.18064549,-2.78610649,5.96326837
57040.82569444,1.19663907,-2.78252320,5.97092595
57040.82638889,1.21261053,-2.77888852,5.97847313
57040.82708333,1.22855967,-2.77520269,5.98591019
57040.82777778,1.24448626,-2.77146597,5.99323738
57040.82847222,1.26039011,-2.76767861,6.00045494
57040.82916667,1.27627100,-2.76384085,6.00756315
57040.82986111,1.29212871,-2.75995294,6.01456223
57040.83055556,1.30796305,-2.75601511,6.02145245
57040.83125000,1.32377381,-2.75202762,6.02823403
57040.83194444,1.33956077,-2.74799068,6.03490723
57040.83263889,1.35532374,-2.74390455,6.04147227
57040.83333333,1.37106252,-2.73976945,6.04792939
57040.83402778,1.38677689,-2.73558561,6.05427883
57040.83472222,1.40246666,-2.73135326,6.06052080
57040.83541667,1.41813163,-2.72707264,6.06665554
57040.83611111,1.43377159,-2.72274395,6.07268326
57040.83680556,1.44938636,-2.71836743,6.07860420
57040.83750000,1.46497572,-2.71394329,6.08441856
57040.83819444,1.48053949,-2.70947176,6.09012656
57040.83888889,1.49607747,-2.70495305,6.09572841
57040.83958333,1.51158947,-2.70038738,6.10122432
57040.84027778,1.52707528,-2.69577495,6.10661451
57040.84097222,1.54253472,-2.69111599,6.11189916
57040.84166667,1.55796758,-2.68641070,6.11707849
57040.84236111,1.57337369,-2.68165928,6.12215269
57040.84305556,1.58875285,-2.67686195,6.12712196
57040.84375000,1.60410486,-2.67201890,6.13198650
57040.84444444,1.61942954,-2.66713035,6.13674649
57040.84513889,1.63472670,-2.66219648,6.14140213
